0.000000000000000000e+00,0.000000000000000000e+00
3.403936664987838867e-03,4.006676644625706274e-02
6.855046809626230697e-03,8.008762120984869171e-02
1.035312572884983240e-02,1.200602617719823684e-01
1.389796871759063634e-02,1.599823856138424816e-01
1.748937107078507580e-02,1.998516902166382891e-01
2.112712808336603132e-02,2.396658730615612853e-01
2.481103505026904799e-02,2.794226316298136226e-01
2.854088726642700635e-02,3.191196634025832424e-01
3.231648002677367515e-02,3.587546658610776262e-01
3.613760862624459946e-02,3.983253364864900448e-01
4.000406835977532438e-02,4.378293727600190977e-01
4.391565452229517774e-02,4.772644721628616082e-01
4.787216240874503370e-02,5.166283321762143999e-01
5.187338731405244374e-02,5.559186502812778485e-01
5.591912453315650566e-02,5.951331239592434486e-01
6.000916936099010002e-02,6.342694506913169050e-01
6.414331709248521918e-02,6.733253279586879358e-01
6.832136302257829641e-02,7.122984532425604698e-01
7.254310244620221226e-02,7.511865240241277775e-01
7.680833065829251183e-02,7.899872377845884586e-01
8.111684295378207565e-02,8.286982920051411128e-01
8.546843462760733701e-02,8.673173841669825634e-01
8.986290097469940008e-02,9.058422117513114102e-01
9.430003728999647450e-02,9.442704722393227001e-01
9.877963886842611174e-02,9.825998631122150329e-01
1.033015010049300741e-01,1.020828081851187008e+00
1.078654189944368014e-01,1.058952825937433673e+00
1.124711881318853912e-01,1.096971792852157179e+00
1.171186037122060597e-01,1.134882680076552575e+00
1.218074610303352401e-01,1.172683185091814906e+00
1.265375553812058129e-01,1.210371005379142773e+00
1.313086820597515469e-01,1.247943838419734774e+00
1.361206363609088754e-01,1.285399381694789511e+00
1.409732135796080144e-01,1.322735332685502030e+00
1.458662090107889497e-01,1.359949388873074483e+00
1.507994179493810094e-01,1.397039247738694812e+00
1.557726356903206266e-01,1.434002606763572274e+00
1.607856575285415701e-01,1.470837163428894812e+00
1.658382787589793850e-01,1.507540615215868129e+00
1.709302946765651754e-01,1.544110659605683722e+00
1.760615005762335983e-01,1.580544994079540189e+00
1.812316917529219751e-01,1.616841316118636129e+00
1.864406635015622982e-01,1.652997323204170144e+00
1.916882111170892244e-01,1.689010712817333726e+00
1.969741298944347463e-01,1.724879182439336134e+00
